stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
1120,楊梅,Yangmei,楊梅,Yangmei,桃園市楊梅區楊梅里大成路 256 號,"No. 256, Dacheng Rd., Yangmei Dist., Taoyuan City",03-4782893,24.91402 121.14641,Y
1130,富岡,Fugang,富岡,Fugang,桃園市楊梅區富岡里成功路 37 號,"No. 37, Chenggong Rd., Yangmei Dist., Taoyuan City",03-4723754,24.93445 121.08308,Y
1140,新富,Xinfu,新富,Xinfu,桃園市楊梅區富豐里新明街,"No. 1, Fuquan St., Yangmei Dist., Taoyuan City",03-4723754,24.93106 121.06721,N
1150,北湖,Beihu,北湖,Beihu,新竹縣湖口鄉東興村北湖路 1 號,"No. 1, Beihu Rd., Hukou Township, Hsinchu County",03-5993850,24.92201 121.05592,Y
1160,湖口,Hukou,湖口,Hukou,新竹縣湖口鄉仁勢村中山路二段 121 號,"No. 121, Sec. 2, Zhongshan Rd., Hukou Township, Hsinchu County",03-5992192,24.90292 121.04412,Y
1170,新豐,Xinfeng,新豐,Xinfeng,新竹縣新豐鄉山崎村新興路 202 號,"No. 202, Xinxing Rd., Xinfeng Township, Hsinchu County",03-5596314,24.86939 120.99626,Y
1180,竹北,Zhubei,竹北,Zhubei,新竹縣竹北市竹義里和平街 59 號,"No. 59, Heping St., Zhubei City, Hsinchu County",03-5552024,24.83892 121.00936,Y
1190,北新竹,North Hsinchu,北新竹,North Hsinchu,新竹市 東區東園里中華路一段 291 之 2 號,"No. 291-2, Sec. 1, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.80875 120.9838,N
1191,千甲,Qianjia,千甲,Qianjia,新竹市 東區水源里千甲路 142 號,"No. 142, Qianjia Rd.,  , Hsinchu City",03-5237441,24.80657 121.0034,N
1192,新莊,Xinzhuang,新莊,Xinzhuang,新竹市 東區新莊里關東路 310 號,"No. 310, Guandong Rd.,  , Hsinchu City",03-5237441,24.78813 121.02179,N
1193,竹中,Zhuzhong,竹中,Zhuzhong,新竹縣竹東鎮頭重里竹中路 145 號,"No. 145, Zhuzhong Rd., Zhudong Township, Hsinchu County",03-5962042,24.78144 121.03103,N
1194,六家,Liujia,六家,Liujia,新竹縣竹北市隘口里復興三路二段 229 號,"No. 229, Sec. 2, Fuxing 3rd Rd., Zhubei City, Hsinchu County",03-5962042,24.80766 121.03941,N
1201,上員,Shangyuan,上員,Shangyuan,新竹縣竹東鎮上員里光明路 (無站房),"Guangming Rd. (No Station Building), Zhudong Township, Hsinchu County",03-5962042,24.77776 121.05582,N
1202,榮華,Ronghua,榮華,Ronghua,新竹縣竹東鎮仁愛里北興路 (無站房),"Beixing Rd. (No Station Building), Zhudong Township, Hsinchu County",03-5962042,24.74839 121.08319,N
1203,竹東,Zhudong,竹東,Zhudong,新竹縣竹東鎮雞林里東林路 196 號,"No. 196, Donglin Rd., Zhudong Township, Hsinchu County",03-5962042,24.73823 121.09472,N
1204,橫山,Hengshan,橫山,Hengshan,新竹縣橫山鄉橫山村橫山路 97 號 (無站房),"No. 97, Hengshan Rd. (No Station Building), Hengshan Township, Hsinchu County",03-5962042,24.72041 121.11772,N
